# Wavelength(nm) Efficiency Input_Flux Output_Flux
0.510 0.000 1000.000 0.000
0.511 0.000 1000.000 0.000
0.511 0.000 1000.000 0.000
0.511 0.000 1000.000 0.000
0.511 0.000 1000.000 0.000
0.511 0.000 1000.000 0.000
0.512 0.000 1000.000 0.000
0.512 0.000 1000.000 0.000
0.512 0.000 1000.000 0.000
0.512 0.000 1000.000 0.000
0.512 0.000 1000.000 0.000
0.513 0.000 1000.000 0.000
0.513 0.000 1000.000 0.000
0.513 0.000 1000.000 0.000
0.513 0.000 1000.000 0.000
0.513 0.000 1000.000 0.000
0.514 0.000 1000.000 0.000
0.514 0.000 1000.000 0.000
0.514 0.000 1000.000 0.000
0.514 0.000 1000.000 0.000
0.515 0.000 1000.000 0.000
0.515 0.000 1000.000 0.000
0.515 0.000 1000.000 0.000
0.515 0.000 1000.000 0.000
0.515 0.000 1000.000 0.000
0.516 0.000 1000.000 0.000
0.516 0.000 1000.000 0.000
0.516 0.000 1000.000 0.000
0.516 0.000 1000.000 0.000
0.516 0.000 1000.000 0.000
0.517 0.000 1000.000 0.000
0.517 0.000 1000.000 0.000
0.517 0.000 1000.000 0.000
0.517 0.000 1000.000 0.000
0.517 0.000 1000.000 0.000
0.518 0.000 1000.000 0.000
0.518 0.000 1000.000 0.000
0.518 0.000 1000.000 0.000
0.518 0.000 1000.000 0.000
0.518 0.000 1000.000 0.000
0.519 0.000 1000.000 0.000
0.519 0.000 1000.000 0.000
0.519 0.000 1000.000 0.000
0.519 0.000 1000.000 0.000
0.519 0.000 1000.000 0.000
0.520 0.000 1000.000 0.000
0.520 0.000 1000.000 0.000
0.520 0.000 1000.000 0.000
0.520 0.000 1000.000 0.000
0.520 0.000 1000.000 0.000
